,Druid,Purl,Title,Source Id,Catkey,source_id
1301,vw385vw9038,https://purl.stanford.edu/vw385vw9038,"Work in the world, or, A life worth living",sul:36105213326866,9388297,36105213326866
1302,vw432mz5268,https://purl.stanford.edu/vw432mz5268,The Manor inn : a tale of a lost impression,sul:36105213320943,9272927,36105213320943
1303,vw874ys6897,https://purl.stanford.edu/vw874ys6897,Second Lieutenant Celia,sul:36105213321057,9273848,36105213321057
1304,vw968dz3269,https://purl.stanford.edu/vw968dz3269,The letters of a betrothed,sul:36105213325512,9372343,36105213325512
1305,vx218qk4246,https://purl.stanford.edu/vx218qk4246,The two Dunmores : a sporting love story of to-day,sul:36105213327765,9423700,36105213327765
1306,vx341xm5283,https://purl.stanford.edu/vx341xm5283,Tales of our coast,sul:36105213329555,9455338,36105213329555
1307,vx756sc3763,https://purl.stanford.edu/vx756sc3763,The Datchet diamonds,sul:36105213330140,9514796,36105213330140
1308,vx818vy3188,https://purl.stanford.edu/vx818vy3188,The Freres,sul:36105213331452,9532477,36105213331452
1309,vy056qx0705,https://purl.stanford.edu/vy056qx0705,"Marion, or, The mystery of Robesdale",sul:36105213332468,9564898,36105213332468
1310,vy186zm7446,https://purl.stanford.edu/vy186zm7446,"Hubert Ellis : a story of King Richard's days, the Second",sul:36105213321024,9273283,36105213321024
1311,vy324qm6186,https://purl.stanford.edu/vy324qm6186,The plagiarist,sul:36105213335115,9613125,36105213335115
1312,vy599wt3231,https://purl.stanford.edu/vy599wt3231,"The warden of Berkingholt, or, Rich and poor",sul:36105213335545,9617137,36105213335545
1313,vz410gg6731,https://purl.stanford.edu/vz410gg6731,Tom Tiddler's ground,sul:36105213330082,9505591,36105213330082
1314,wb093tm0395,https://purl.stanford.edu/wb093tm0395,"Te Rou, or, The Māori at home : a tale, exhibiting the social life, manners, habits and customs of the Māori race in New Zealand prior to the introduction of civilisation amongst them",sul:36105213337046,9631712,36105213337046
1315,wb501bb7128,https://purl.stanford.edu/wb501bb7128,A paladin of finance : contemporary manners,sul:36105213336550,9628203,36105213336550
1316,wc083hv9859,https://purl.stanford.edu/wc083hv9859,"""Life in him yet""",sul:36105213328656,9439943,36105213328656
1317,wc153gz6401,https://purl.stanford.edu/wc153gz6401,On the edge of the storm,sul:36105213332153,9562643,36105213332153
1318,wc350pz5375,https://purl.stanford.edu/wc350pz5375,"Montague, or, Is this religion?",sul:36105213336014,9621816,36105213336014
1319,wc398vx3299,https://purl.stanford.edu/wc398vx3299,Elementary Jane,sul:36105213325538,9372371,36105213325538
1320,wc453zd3173,https://purl.stanford.edu/wc453zd3173,Treadlepin fold : The new borough ; A fight for love,sul:36105213334035,9601268,36105213334035
1321,wc486vk8456,https://purl.stanford.edu/wc486vk8456,Bread upon the waters : a novel,sul:36105213336337,9626206,36105213336337
1322,wc729vs9245,https://purl.stanford.edu/wc729vs9245,"Bernard Leslie, or, A tale of the last ten years",sul:36105213320661,9267547,36105213320661
1323,wc925yd7106,https://purl.stanford.edu/wc925yd7106,"Above rubies, or, Memorials of Christian gentlewomen",sul:36105213334050,9601330,36105213334050
1324,wd002pf2974,https://purl.stanford.edu/wd002pf2974,"""Can such things be?"" or, The weird of the Beresfords : a study in occult will-power",sul:36105213321263,9274740,36105213321263
1325,wd318kz1313,https://purl.stanford.edu/wd318kz1313,Tales and sketches for fire-side reading,sul:36105213321248,9274671,36105213321248
1326,wd533bm5290,https://purl.stanford.edu/wd533bm5290,Lady Flora Montagu : a novel,sul:36105213322741,9331680,36105213322741
1327,wd558sg5670,https://purl.stanford.edu/wd558sg5670,A chronicle of small beer,sul:36105213329019,9446985,36105213329019
1328,wd831cq5186,https://purl.stanford.edu/wd831cq5186,"Sister Louise, or, The story of a woman's repentance",sul:36105213337103,9631776,36105213337103
1329,wf028sh8736,https://purl.stanford.edu/wf028sh8736,A tragedy in marble,sul:36105213330678,9519405,36105213330678
1330,wf417xf8702,https://purl.stanford.edu/wf417xf8702,The heiress of Wylmington,sul:36105213334712,9608890,36105213334712
1331,wf563fc4951,https://purl.stanford.edu/wf563fc4951,Miss Hitchcock's wedding dress,sul:36105213333029,9585168,36105213333029
1332,wg046gw3084,https://purl.stanford.edu/wg046gw3084,Strange Stories of Strange People,sul:36105213320976,9273090,36105213320976
1333,wg047gg9291,https://purl.stanford.edu/wg047gg9291,Fitzjames,sul:36105213335958,9621724,36105213335958
1334,wg251ky0135,https://purl.stanford.edu/wg251ky0135,Premiums paid to experience : incidents in my business life,sul:36105213334324,9605600,36105213334324
1335,wg447nv3384,https://purl.stanford.edu/wg447nv3384,"Keith Kavanagh, remittance man",sul:36105213326023,9377223,36105213326023
1336,wg562nr3338,https://purl.stanford.edu/wg562nr3338,Caesar & Cleopatra : an historical romance,sul:36105213332336,9564092,36105213332336
1337,wg682vs2439,https://purl.stanford.edu/wg682vs2439,Ion Lester : a tale,sul:36105213324671,9350704,36105213324671
1338,wg841gz7767,https://purl.stanford.edu/wg841gz7767,Mademoiselle Mori : a tale of modern Rome,sul:36105213326460,9382493,36105213326460
1339,wh129cy2668,https://purl.stanford.edu/wh129cy2668,For the white rose of Arno,sul:36105213329035,9450753,36105213329035
1340,wh514pg3742,https://purl.stanford.edu/wh514pg3742,"Ned Locksley, the Etonian",sul:36105213334209,9603518,36105213334209
1341,wh808tp9853,https://purl.stanford.edu/wh808tp9853,Maia : a tale of the fatherland,sul:36105213336469,9627221,36105213336469
1342,wj149rk4230,https://purl.stanford.edu/wj149rk4230,"The Old Bull Inn of Silver Street, Edmonton : a novel",sul:36105213330546,9519028,36105213330546
1343,wj177fj2531,https://purl.stanford.edu/wj177fj2531,Muriel : a study,sul:36105213327385,9408640,36105213327385
1344,wj935ff4168,https://purl.stanford.edu/wj935ff4168,Women's tragedies,sul:36105213330777,9521872,36105213330777
1345,wk421rr6421,https://purl.stanford.edu/wk421rr6421,"Garnston, or, A life's discipline",sul:36105213322477,9330168,36105213322477
1346,wk696sf3742,https://purl.stanford.edu/wk696sf3742,The salt of the earth,sul:36105213327666,9413609,36105213327666
